0000000000000000, 0015000000000000, 0004000000000000, 0004000000000000, 0004000000000000, 0400000000000000, 0155000000000000, 0004000000000000, 0003000000000000
0000000000000000, 0087000000000000, 0074000000000000, 0037000000000000, 001A000000000000, 0000000000000000, 0222000000000000, 003A000000000000, 0046000000000000
0000000000000000, 006E000000000000, 0029000000000000, 002F000000000000, 0016000000000000, 0000000000000000, 0222000000000000, 0037000000000000, 003F000000000000
0000000000000000, 00A7000000000000, 0048000000000000, 002B000000000000, 0021000000000000, 0000000000000000, 0222000000000000, 002C000000000000, 002B000000000000
0000000000000000, 0080000000000000, 0030000000000000, 001A000000000000, 0019000000000000, 0000000000000000, 0155000000000000, 001D000000000000, 001D000000000000
0400000000000000, 0000000000000000, 0001000000000000, 00C5000000000000, 0000000000000000, 0000000000000000, 0155000000000000, 00F2000000000000, 013B000000000000
0000000000000000, 010D000000000000, 006B000000000000, 004C000000000000, 0035000000000000, 0000000000000000, 0222000000000000, 0042000000000000, 0040000000000000
0000000000000000, 0015000000000000, 0000000000000000, 0004000000000000, 0004000000000000, 0000000000000000, 0155000000000000, 0004000000000000, 0000000000000000
0000000000000000, 0015000000000000, 0004000000000000, 0004000000000000, 0004000000000000, 0400000000000000, 0155000000000000, 0004000000000000, 0003000000000000
0400000000000000, 0000000000000000, 0000000000000000, 005D000000000000, 0000000000000000, 0000000000000000, 0155000000000000, 006A000000000000, 005B000000000000
0000000000000000, 0078000000000000, 0058000000000000, 002C000000000000, 0018000000000000, 0000000000000000, 0155000000000000, 002D000000000000, 0034000000000000
0000000000000000, 0095000000000000, 0061000000000000, 0032000000000000, 001D000000000000, 0000000000000000, 0222000000000000, 0034000000000000, 003A000000000000
0000000000000000, 0078000000000000, 0078000000000000, 0037000000000000, 0018000000000000, 0000000000000000, 0222000000000000, 0039000000000000, 0048000000000000
0000000000000000, 0015000000000000, 0000000000000000, 0004000000000000, 0004000000000000, 0400000000000000, 0155000000000000, 0004000000000000, 0000000000000000
0000000000000000, 0015000000000000, 0000000000000000, 000C000000000000, 0004000000000000, 0400000000000000, 0155000000000000, 000B000000000000, 0000000000000000
0000000000000000, 0015000000000000, 0000000000000000, 0004000000000000, 0004000000000000, 0400000000000000, 0155000000000000, 0004000000000000, 0000000000000000
0400000000000000, 0000000000000000, 0000000000000000, 0103000000000000, 0000000000000000, 0000000000000000, 0155000000000000, 0132000000000000, 020D000000000000
0000000000000000, 00B5000000000000, 0069000000000000, 003E000000000000, 0023000000000000, 0000000000000000, 0222000000000000, 0036000000000000, 003E000000000000
